"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL200828","SALT LAKE CITY","4","3","90D","200 W 400 S                                                                                             ","01/01/2008","DTN","112","01/01/2008","5404-0","TRAFFIC","1890050","884431"
"SL200839","SALT LAKE CITY","4","3","23F","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","2305-0","LARCENY","1890717","885557"
"SL200811","SALT LAKE CITY","5","3","13B","1700 S 200 E                                                                                             ","01/01/2008","LIW","234","01/01/2008","1313-0","ASSAULT","1893380","874196"
"SL200814","SALT LAKE CITY","4","3","90D","900 S 600 W                                                                                             ","01/01/2008","PEF","114","01/01/2008","5404-0","TRAFFIC","1887064","880472"
"SL200860","SALT LAKE CITY","5","3","90Z","900 S 1200 E                                                                                            ","01/01/2008","EAC","232","01/01/2008","5401-0","TRAFFIC","1901385","880298"
"SL200886","SALT LAKE CITY","4","3","90D","200 S 300 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","5404-0","TRAFFIC","1889520","885315"
"SL200840","SALT LAKE CITY","4","3","220","700 E 800 S                                                                                             ","01/01/2008","EAC","215","01/01/2008","2202-0","BURGLARY","1897868","881174"
"SL200842","SALT LAKE CITY","1","3","290","700 N 900 W                                                                                             ","01/01/2008","ROP","131","01/01/2008","2902-1","DAMAGED PROP","1884800","893292"
"SL200859","SALT LAKE CITY","4","3","240","100 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","2499-13","STOLEN VEHICLE","1890645","885955"
"SL200879","SALT LAKE CITY","4","3","23F","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","2305-0","LARCENY","1890717","885557"
"SL2008109","SALT LAKE CITY","5","3","35A","900 E LAIRD AVE                                                                                         ","01/01/2008","EAL","232","01/01/2008","3562-0","DRUGS","1899117","877869"
"SL200878","SALT LAKE CITY","4","3","13B","300 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","1313-0","ASSAULT","1891044","885178"
"SL200896","SALT LAKE CITY","4","3","240","600 W 100 S                                                                                             ","01/01/2008","DTN","112","01/01/2008","2499-13","STOLEN VEHICLE","1887097","886820"
"SL2008135","SALT LAKE CITY","4","3","13B","200 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","1313-0","ASSAULT","1891105","885480"
"SL2008145","SALT LAKE CITY","2","3","0","1400 S 700 W                                                                                             ","01/01/2008","WSL","153","01/01/2008","2499-14","STOLEN VEHICLE","1886239","876382"
"SL2008116","SALT LAKE CITY","2","3","520","1400 W WASATCH AVE                                                                                       ","01/01/2008","POP","151","01/01/2008","5213-19","WEAPON OFFENSE","1880358","881694"
"SL200898","SALT LAKE CITY","2","3","520","900 S CONCORD ST                                                                                        ","01/01/2008","POP","152","01/01/2008","5213-19","WEAPON OFFENSE","1881750","880461"
"SL2008152","SALT LAKE CITY","2","3","120","900 S 900 W                                                                                             ","01/01/2008","POP","152","01/01/2008","1202-0","ROBBERY","1884688","880448"
"SL2008128","SALT LAKE CITY","3","3","13A","100 N MEDICAL DR                                                                                        ","01/01/2008","AVE","213","01/01/2008","1304-0","ASSAULT","1905903","888374"
"SL2008142","SALT LAKE CITY","1","3","13B","500 N REDWOOD RD                                                                                        ","01/01/2008","JOM","132","01/01/2008","1313-0","ASSAULT","1878556","892421"
"SL2008125","SALT LAKE CITY","5","3","13B","1400 S WEST TEMPLE ST                                                                                    ","01/01/2008","PEF","231","01/01/2008","1313-0","ASSAULT","1891008","876217"
"SL2008209","SALT LAKE CITY","2","3","90D","300 S REDWOOD RD                                                                                        ","01/01/2008","POP","151","01/01/2008","5404-0","TRAFFIC","1878617","885227"
"SL2008215","SALT LAKE CITY","4","3","90Z","200 W 500 S                                                                                             ","01/01/2008","DTN","114","01/01/2008","3599-2","DRUGS","1890024","883640"
"SL2008122","SALT LAKE CITY","5","3","90Z","900 S 400 E                                                                                             ","01/01/2008","WEL","232","01/01/2008","4902-0","ESCAPE","1895050","880111"
"SL2008219","SALT LAKE CITY","4","3","23D","200 S 300 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","2308-0","LARCENY","1889520","885327"
