"cases","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20094127","SALT LAKE CITY","1","5","290",,"01/01/2009",,,"01/07/2009","2902-0","DAMAGED PROP",,
"SL20097","SALT LAKE CITY","4","5","90D","500 S WEST TEMPLE ST                                                                                    ","01/01/2009","PEF","115","01/01/2009","5404-3","TRAFFIC","1891038","883582"
"SL200917","SALT LAKE CITY","4","5","90D","400 S 200 W                                                                                             ","01/01/2009","DTN","115","01/01/2009","5404-0","TRAFFIC","1890307","883997"
"SL200920","SALT LAKE CITY","4","5","90D","000 W 300 S                                                                                             ","01/01/2009","DTN","113","01/01/2009","5404-0","TRAFFIC","1891280","885159"
"SL200927","SALT LAKE CITY","4","5","13B","300 S WEST TEMPLE ST                                                                                    ","01/01/2009","DTN","113","01/01/2009","4801-0","OBST POLICE","1891044","885178"
"SL200934","SALT LAKE CITY","4","5","90D","800 S MAIN ST                                                                                           ","01/01/2009","PEF","115","01/01/2009","5404-0","TRAFFIC","1891880","880776"
"SL200947","SALT LAKE CITY","4","5","90D","100 W 200 S                                                                                             ","01/01/2009","DTN","113","01/01/2009","5404-0","TRAFFIC","1890902","886014"
"SL200956","SALT LAKE CITY","4","5","90D","600 E 400 S                                                                                             ","01/01/2009","CEC","214","01/01/2009","5404-0","TRAFFIC","1896644","884347"
"SL200992","SALT LAKE CITY",,"5","0",,"01/01/2009","40","40","01/01/2009","5499-84","TRAFFIC","1867367","893605"
"SL200981","SALT LAKE CITY","4","5","90D","900 E 800 S                                                                                             ","01/01/2009","EAC","215","01/01/2009","5404-0","TRAFFIC","1899429","881228"
"SL200984","SALT LAKE CITY","4","5","90D","400 S 400 W                                                                                             ","01/01/2009","DTN","114","01/01/2009","5404-0","TRAFFIC","1888663","884079"
"SL200995","SALT LAKE CITY","4","5","90D","700 S WEST TEMPLE ST                                                                                    ","01/01/2009","PEF","115","01/01/2009","5404-0","TRAFFIC","1891060","881624"
"SL200998","SALT LAKE CITY","4","5","90D","900 E 400 S                                                                                             ","01/01/2009","EAC","215","01/01/2009","5404-0","TRAFFIC","1899150","884337"
"SL200997","SALT LAKE CITY","4","5","90D","500 S 500 W                                                                                             ","01/01/2009","PEF","114","01/01/2009","5404-0","TRAFFIC","1887869","883594"
"SL2009134","SALT LAKE CITY","4","5","0","500 S 300 W                                                                                             ","01/01/2009","PEF","114","01/01/2009","5499-5","TRAFFIC","1889453","883588"
"SL200955","SALT LAKE CITY","5","5","0","1400 S WEST TEMPLE ST                                                                                    ","01/01/2009","PEF","231","01/01/2009","7399-1","PUBLIC ORDER","1891069","876440"
