"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20105865",,,"2","0",,"01/11/2010 12:00:00 AM","40","40","2010-01-11T00:00:00.000","5499-7","TRAFFIC","1884869","872815"
"SL20106320","SALT LAKE CITY","1","3","0",,"01/12/2010 12:00:00 AM","JOM","133","2010-01-12T00:00:00.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL20107437",,,"4","90D",,"01/13/2010 12:00:00 AM","40","40","2010-01-13T00:00:00.000","5404-0","TRAFFIC","1886903","892565"
"SL20108361","SALT LAKE CITY",,"6","90J",,"01/15/2010 12:00:00 AM",,,"2010-01-15T00:00:00.000","5707-0","INV OF PRIVACY",,
"SL20108983","SALT LAKE CITY",,"7","220",,"01/16/2010 12:00:00 AM",,,"2010-01-16T00:00:00.000","2203-0","BURGLARY",,
"SL201010610",,,"2","0",,"01/18/2010 12:00:00 AM","40","40","2010-01-18T00:00:00.000","5399-28","PUBLIC PEACE","1889150","894695"
"SL201011817",,,"3","0",,"01/19/2010 12:00:00 AM",,"INV","2010-01-20T00:00:00.000","7399-99","PUBLIC ORDER",,
"SL201012160","SALT LAKE CITY","1","3","23G",,"01/19/2010 12:00:00 AM","JOM","133","2010-01-21T00:00:00.000","2304-0","LARCENY","1865746","891599"
"SL201011398","SALT LAKE CITY","1","4","0",,"01/20/2010 12:00:00 AM","JOM","133","2010-01-20T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201011639","SALT LAKE CITY","1","4","0",,"01/20/2010 12:00:00 AM","JOM","133","2010-01-20T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201011586",,,"4","35A",,"01/20/2010 12:00:00 AM",,,"2010-01-20T00:00:00.000","3562-0","DRUGS",,
"SL201012614","SALT LAKE CITY","1","6","0",,"01/22/2010 12:00:00 AM","JOM","133","2010-01-22T00:00:00.000","5499-12","TRAFFIC","1865746","891599"
"SL201014605","SALT LAKE CITY",,"2","90J",,"01/25/2010 12:00:00 AM",,,"2010-01-25T00:00:00.000","5707-0","INV OF PRIVACY",,
"SL201018923","SALT LAKE CITY",,"1","23D",,"01/31/2010 12:00:00 AM",,,"2010-01-31T00:00:00.000","2308-0","LARCENY",,
"SL201028084",,,"3","0",,"02/16/2010 12:00:00 AM",,,"2010-02-16T00:00:00.000","5499-12","TRAFFIC",,
"SL201031561","SALT LAKE CITY","1","1","23H",,"02/21/2010 12:00:00 AM","JOM","133","2010-02-21T00:00:00.000","2399-0","LARCENY","1866905","891511"
"SL201033546",,,"4","23C",,"02/24/2010 12:00:00 AM",,,"2010-02-24T00:00:00.000","2303-0","LARCENY",,
"SL201034872",,,"6","0",,"02/26/2010 12:00:00 AM",,,"2010-02-26T00:00:00.000","5499-6","TRAFFIC",,
"SL201034819","SALT LAKE CITY",,"6","0",,"02/26/2010 12:00:00 AM",,,"2010-02-26T00:00:00.000","7399-99","PUBLIC ORDER",,
"SL201041111","SALT LAKE CITY","1","6","290",,"03/05/2010 12:00:00 AM","JOM","133","2010-03-08T00:00:00.000","2902-0","DAMAGED PROP","1866905","891511"
"SL201040157","SOUTH SALT LAKE",,"1","35A",,"03/07/2010 12:00:00 AM","42","42","2010-03-07T00:00:00.000","3562-0","DRUGS","1884331","860900"
"SL201041055",,,"2","23F",,"03/08/2010 12:00:00 AM",,,"2010-03-08T00:00:00.000","2305-0","LARCENY",,
"SL201057748",,,"7","0",,"04/03/2010 12:00:00 AM",,"INV","2010-04-03T00:00:00.000","7399-99","PUBLIC ORDER",,
"SL201061665",,"1","7","0",,"04/10/2010 12:00:00 AM","JOM","133","2010-04-10T00:00:00.000","5499-80","TRAFFIC","1866905","891511"
"SL201061299","SALT LAKE CITY",,"7","90J",,"04/10/2010 12:00:00 AM",,,"2010-04-10T00:00:00.000","5707-0","INV OF PRIVACY",,
"SL201064709","SALT LAKE CITY",,"5","90J",,"04/15/2010 12:00:00 AM",,,"2010-04-15T00:00:00.000","5707-0","INV OF PRIVACY",,
"SL201065200","SALT LAKE CITY",,"6","0",,"04/16/2010 12:00:00 AM",,,"2010-04-16T00:00:00.000","7399-5","PUBLIC ORDER",,
"SL201066953",,,"6","220",,"04/16/2010 12:00:00 AM",,"154","2010-04-19T00:00:00.000","2203-0","BURGLARY",,
"SL201065972","SALT LAKE CITY",,"7","23H",,"04/17/2010 12:00:00 AM",,,"2010-04-17T00:00:00.000","2399-0","LARCENY",,
"SL201068105","SALT LAKE CITY","1","3","0",,"04/20/2010 12:00:00 AM",,,"2010-04-20T00:00:00.000","5399-28","PUBLIC PEACE",,
"SL201068527","SALT LAKE CITY","1","4","0",,"04/21/2010 12:00:00 AM",,,"2010-04-21T00:00:00.000","7399-5","PUBLIC ORDER",,
"SL2010107532",,,"6","0",,"04/23/2010 12:00:00 AM",,"INV","2010-06-23T00:00:00.000","7399-6","PUBLIC ORDER",,
"SL20101093","SALT LAKE CITY","1","7","0",,"01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","5499-84","TRAFFIC","1866905","891511"
"SL20101112","SALT LAKE CITY","4","7","90Z",,"01/02/2010 12:00:00 AM","CEC","212","2010-01-02T00:00:00.000","4902-0","ESCAPE","1895074","886325"
"SL201072587","SALT LAKE CITY",,"4","0",,"04/28/2010 12:00:00 AM","40","40","2010-04-28T00:00:00.000","7399-5","PUBLIC ORDER","1869639","890280"
"SL201073641","TAYLORSVILLE",,"5","90Z",,"04/29/2010 12:00:00 AM",,,"2010-04-29T00:00:00.000","4902-0","ESCAPE",,
"SL201075285","SALT LAKE CITY","5","1","35A",,"05/02/2010 12:00:00 AM","LIW","234","2010-05-02T00:00:00.000","3599-0","DRUGS","1892647","874055"
"SL201077338","SALT LAKE CITY","1","4","0",,"05/05/2010 12:00:00 AM","JOM","133","2010-05-05T00:00:00.000","7399-99","PUBLIC ORDER","1866905","891511"
"SL201078457","SALT LAKE CITY","1","6","0",,"05/07/2010 12:00:00 AM","JOM","133","2010-05-07T00:00:00.000","7399-1","PUBLIC ORDER","1865746","891599"
"SL20101624","SALT LAKE CITY",,"1","0",,"01/03/2010 12:00:00 AM","40","40","2010-01-03T00:00:00.000","5399-28","PUBLIC PEACE","1869739","890270"
"SL201078776","SALT LAKE CITY",,"7","90E",,"05/08/2010 12:00:00 AM",,,"2010-05-08T00:00:00.000","7399-26","PUBLIC ORDER",,
"SL20102216","MAGNA",,"2","90Z",,"01/04/2010 12:00:00 AM","11","11","2010-01-04T00:00:00.000","3599-99","DRUGS","1826034","884694"
"SL20102217","MAGNA",,"2","90Z",,"01/04/2010 12:00:00 AM","11","11","2010-01-04T00:00:00.000","3599-99","DRUGS","1826034","884694"
"SL201079551","SALT LAKE CITY",,"1","0",,"05/09/2010 12:00:00 AM","40","40","2010-05-09T00:00:00.000","7399-1","PUBLIC ORDER","1867367","893605"
"SL201067501","WEST JORDAN",,"2","35A",,"05/10/2010 12:00:00 AM","48","48","2010-05-10T00:00:00.000","3571-0","DRUGS","1866158","834530"
"SL201081446","SALT LAKE CITY",,"4","13C",,"05/12/2010 12:00:00 AM",,,"2010-05-12T00:00:00.000","1316-3","ASSAULT",,
"SL201081829","SALT LAKE CITY","1","5","0",,"05/13/2010 12:00:00 AM","JOM","133","2010-05-13T00:00:00.000","5499-84","TRAFFIC","1866905","891511"
"SL201084699","SALT LAKE CITY","1","2","0",,"05/17/2010 12:00:00 AM","JOM","133","2010-05-17T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201085061","SALT LAKE CITY","1","3","290",,"05/18/2010 12:00:00 AM","JOM","133","2010-05-18T00:00:00.000","2902-1","DAMAGED PROP","1865746","891599"
"SL201085247","SALT LAKE CITY",,"3","13A",,"05/18/2010 12:00:00 AM","WSL","153","2010-05-18T00:00:00.000","1302-0","ASSAULT","1879216","875965"
"SL201085456","SALT LAKE CITY","6","3","0",,"05/18/2010 12:00:00 AM","UNV","233","2010-05-18T00:00:00.000","2499-14","STOLEN VEHICLE","1915667","879048"
"SL201087327",,"1","6","0",,"05/21/2010 12:00:00 AM","JOM","133","2010-05-21T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201087365","SALT LAKE CITY","1","6","0",,"05/21/2010 12:00:00 AM","JOM","133","2010-05-21T00:00:00.000","5499-7","TRAFFIC","1866905","891511"
"SL201087788",,,"7","90Z",,"05/22/2010 12:00:00 AM",,,"2010-05-22T00:00:00.000","4902-0","ESCAPE",,
"SL201087470","MIDVALE",,"7","35A",,"05/22/2010 12:00:00 AM","47","47","2010-05-22T00:00:00.000","3572-0","DRUGS","1894540","833394"
"SL201087979","WEST JORDAN",,"7","35A",,"05/22/2010 12:00:00 AM","48","48","2010-05-22T00:00:00.000","3562-0","DRUGS","1859871","840624"
"SL201088231","SALT LAKE CITY",,"1","90Z",,"05/23/2010 12:00:00 AM",,,"2010-05-23T00:00:00.000","4902-0","ESCAPE",,
"SL201089218","SALT LAKE CITY","2","3","0",,"05/25/2010 12:00:00 AM","JOM","132","2010-05-25T00:00:00.000","7399-1","PUBLIC ORDER","1879489","889945"
"SL201090109","SALT LAKE CITY","1","4","0",,"05/26/2010 12:00:00 AM","JOM","133","2010-05-26T00:00:00.000","5499-84","TRAFFIC","1866905","891511"
"SL201090166","SALT LAKE CITY","7","4","90B",,"05/26/2010 12:00:00 AM","SUG","236","2010-05-26T00:00:00.000","5399-14","PUBLIC PEACE","1902124","869854"
"SL201090652","SALT LAKE CITY",,"5","0",,"05/27/2010 12:00:00 AM","40","40","2010-05-27T00:00:00.000","5399-28","PUBLIC PEACE","1869739","890270"
"SL201091957","SALT LAKE CITY","3","5","90Z",,"05/27/2010 12:00:00 AM","UNIV","213","2010-05-27T00:00:00.000","5401-0","TRAFFIC","1906077","887216"
"SL201091552","SALT LAKE CITY","1","6","35A",,"05/28/2010 12:00:00 AM","JOM","133","2010-05-28T00:00:00.000","3562-0","DRUGS","1866905","891511"
"SL201092003",,,"7","90Z",,"05/29/2010 12:00:00 AM",,,"2010-05-29T00:00:00.000","4902-0","ESCAPE",,
"SL201093061","SALT LAKE CITY","5","2","0",,"05/31/2010 12:00:00 AM","PEF","231","2010-05-31T00:00:00.000","5399-23","PUBLIC PEACE","1889435","877497"
"SL2010800512",,,"2","23F",,"05/31/2010 12:00:00 AM","40","40","2010-05-31T00:00:00.000","2305-0","LARCENY","1894355","907024"
"SL201093677","SALT LAKE CITY",,"3","0",,"06/01/2010 12:00:00 AM","B5","235","2010-06-01T00:00:00.000","5499-8","TRAFFIC","1902061","862165"
"SL2011104501","SALT LAKE CITY",,"3","23H",,"06/01/2010 12:00:00 AM",,,"2011-06-29T00:00:00.000","2399-0","LARCENY",,
"SL201094465","MURRAY",,"4","280",,"06/02/2010 12:00:00 AM","45","45","2010-06-02T00:00:00.000","2803-0","STOLEN PROP","1892408","845330"
"SL201094649","SALT LAKE CITY","1","4","90G",,"06/02/2010 12:00:00 AM","WSL","152","2010-06-02T00:00:00.000","4104-0","LIQUOR","1883650","879087"
"SL201094859",,,"5","90Z",,"06/03/2010 12:00:00 AM","40","40","2010-06-03T00:00:00.000","4902-0","ESCAPE","1886202","891657"
"SL201095396","MAGNA",,"5","35A",,"06/03/2010 12:00:00 AM","11","11","2010-06-03T00:00:00.000","3510-0","DRUGS","1826034","884694"
"SL201095418","SALT LAKE CITY",,"5","90J",,"06/03/2010 12:00:00 AM",,,"2010-06-03T00:00:00.000","5707-0","INV OF PRIVACY",,
"SL201095419",,,"5","13B",,"06/03/2010 12:00:00 AM","40","40","2010-06-03T00:00:00.000","1313-0","ASSAULT","1881277","894379"
"SL201096765","SALT LAKE CITY","2","7","13B",,"06/05/2010 12:00:00 AM","JOM","132","2010-06-05T00:00:00.000","4801-0","OBST POLICE","1880332","888441"
"SL201097649","SALT LAKE CITY","2","7","23H",,"06/05/2010 12:00:00 AM","WSL","154","2010-06-07T00:00:00.000","2309-0","LARCENY","1872020","879101"
"SL2010116858","SALT LAKE CITY","5","1","26C",,"06/06/2010 12:00:00 AM","PEF","231","2010-07-07T00:00:00.000","2699-1","FRAUD","1889487","877124"
"SL201098085","SALT LAKE CITY","1","2","35B",,"06/07/2010 12:00:00 AM","WSL","152","2010-06-07T00:00:00.000","3550-0","DRUGS","1883650","879087"
"SL201099369","SALT LAKE CITY","1","4","90G",,"06/09/2010 12:00:00 AM","WSL","152","2010-06-09T00:00:00.000","4104-0","LIQUOR","1883650","879087"
"SL201099589","SALT LAKE CITY","1","5","23H",,"06/10/2010 12:00:00 AM","A3","131","2010-06-10T00:00:00.000","2309-0","LARCENY","1882757","899184"
"SL2010100889","SALT LAKE CITY",,"7","0",,"06/12/2010 12:00:00 AM","40","40","2010-06-12T00:00:00.000","7399-99","PUBLIC ORDER","1869739","890270"
"SL2010101510","SALT LAKE CITY","1","1","0",,"06/13/2010 12:00:00 AM","JOM","133","2010-06-13T00:00:00.000","5499-5","TRAFFIC","1877770","888451"
"SL2010101898","SALT LAKE CITY","4","2","0",,"06/14/2010 12:00:00 AM","CEC","115","2010-06-14T00:00:00.000","5499-6","TRAFFIC","1893295","882776"
"SL2010102201","SALT LAKE CITY","1","2","290",,"06/14/2010 12:00:00 AM","POP","151","2010-06-14T00:00:00.000","2903-0","DAMAGED PROP","1883132","881692"
"SL2010102928","SALT LAKE CITY","1","3","0",,"06/15/2010 12:00:00 AM","JOM","133","2010-06-15T00:00:00.000","5499-84","TRAFFIC","1866905","891511"
"SL2010103874","SALT LAKE CITY",,"5","0",,"06/17/2010 12:00:00 AM","40","40","2010-06-17T00:00:00.000","7399-1","PUBLIC ORDER","1867367","893605"
"SL2010104924",,,"6","0",,"06/18/2010 12:00:00 AM",,,"2010-06-18T00:00:00.000","5499-12","TRAFFIC",,
"SL2010104861","SALT LAKE CITY","1","6","35B",,"06/18/2010 12:00:00 AM","JOM","133","2010-06-18T00:00:00.000","3550-0","DRUGS","1866905","891511"
"SL2010105440","SALT LAKE CITY","2","7","0",,"06/19/2010 12:00:00 AM","POP","151","2010-06-19T00:00:00.000","7399-5","PUBLIC ORDER","1883596","882077"
"SL2010105896","SALT LAKE CITY","1","1","290",,"06/20/2010 12:00:00 AM","A3","133","2010-06-20T00:00:00.000","2901-0","DAMAGED PROP","1865746","891599"
"SL2010106032","SALT LAKE CITY",,"1","90Z",,"06/20/2010 12:00:00 AM",,,"2010-06-21T00:00:00.000","4902-0","ESCAPE",,
"SL2010106789","SALT LAKE CITY","4","3","13B",,"06/22/2010 12:00:00 AM","DTN","114","2010-06-22T00:00:00.000","4801-1","OBST POLICE","1890247","883997"
"SL201082003112",,,"3","TEST",,"06/22/2010 12:00:00 AM",,,"2010-06-22T00:00:00.000","TEST-0","TEST",,
"SL2010107423",,,"3","90Z",,"06/22/2010 12:00:00 AM","B1","211","2010-06-22T00:00:00.000","5401-0","TRAFFIC","1893206","890037"
"SL2010107786","SALT LAKE CITY","1","4","90G",,"06/23/2010 12:00:00 AM","WSL","153","2010-06-23T00:00:00.000","4104-0","LIQUOR","1882975","874636"
"SL2010109092","SALT LAKE CITY","1","6","0",,"06/25/2010 12:00:00 AM","WES","133","2010-06-25T00:00:00.000","5499-5","TRAFFIC","1866213","893805"
"SL2010109786",,,"7","90G",,"06/26/2010 12:00:00 AM",,,"2010-06-26T00:00:00.000","4104-0","LIQUOR",,
"SL2010110502","SALT LAKE CITY","1","1","0",,"06/27/2010 12:00:00 AM","A3","133","2010-06-27T00:00:00.000","5499-84","TRAFFIC","1866905","891511"
"SL2010110602",,,"1","290",,"06/27/2010 12:00:00 AM",,,"2010-06-27T00:00:00.000","2902-1","DAMAGED PROP",,
"SL2010111791","SALT LAKE CITY","1","3","290",,"06/29/2010 12:00:00 AM","A3","133","2010-06-29T00:00:00.000","2901-0","DAMAGED PROP","1866905","891511"
"SL201010103976",,,"4","90Z",,"06/30/2010 12:00:00 AM",,,"2010-06-30T00:00:00.000","5401-0","TRAFFIC",,
"SL2010112760","SALT LAKE CITY",,"5","0",,"07/01/2010 12:00:00 AM",,"235","2010-07-01T00:00:00.000","2499-14","STOLEN VEHICLE",,
"SL2010113050",,,"5","0",,"07/01/2010 12:00:00 AM",,,"2010-07-01T00:00:00.000","5499-1","TRAFFIC",,
"SL2010113708","SALT LAKE CITY","1","6","23H",,"07/02/2010 12:00:00 AM","A3","133","2010-07-02T00:00:00.000","2399-0","LARCENY","1866905","891511"
"SL2010113613","SALT LAKE CITY",,"6","0",,"07/02/2010 12:00:00 AM",,,"2010-07-02T00:00:00.000","7399-4","PUBLIC ORDER",,
"SL2010115143",,,"1","0",,"07/04/2010 12:00:00 AM",,,"2010-07-04T00:00:00.000","5499-12","TRAFFIC",,
"SL2010114966","SALT LAKE CITY","1","1","0",,"07/04/2010 12:00:00 AM","A3","133","2010-07-04T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2010116478",,,"3","90Z",,"07/06/2010 12:00:00 AM",,"154","2010-07-06T00:00:00.000","4902-0","ESCAPE",,
"SL20101090884",,,"4","90Z",,"07/07/2010 12:00:00 AM",,,"2010-07-07T00:00:00.000","5401-0","TRAFFIC",,
"SL2010117921",,,"5","90Z",,"07/08/2010 12:00:00 AM",,,"2010-07-08T00:00:00.000","4902-0","ESCAPE",,
"SL2010119518",,,"1","90D",,"07/11/2010 12:00:00 AM",,,"2010-07-11T00:00:00.000","5404-0","TRAFFIC",,
"SL2010120062",,,"2","0",,"07/12/2010 12:00:00 AM",,,"2010-07-12T00:00:00.000","5499-12","TRAFFIC",,
"SL2010120162","SALT LAKE CITY","1","2","0",,"07/12/2010 12:00:00 AM","A3","133","2010-07-12T00:00:00.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL2010120709",,,"3","0",,"07/13/2010 12:00:00 AM",,,"2010-07-13T00:00:00.000","7399-99","PUBLIC ORDER",,
"SL2010120853",,,"3","90G",,"07/13/2010 12:00:00 AM",,"INV","2010-07-13T00:00:00.000","4104-0","LIQUOR",,
"SL2010122142","SALT LAKE CITY","1","5","220",,"07/15/2010 12:00:00 AM","JOM","133","2010-07-15T00:00:00.000","2202-0","BURGLARY","1877294","888780"
"SL2010123614","SALT LAKE CITY",,"7","23C",,"07/17/2010 12:00:00 AM",,,"2010-07-17T00:00:00.000","2303-0","LARCENY",,
"SL2010123837","WEST VALLEY CITY",,"7","90Z",,"07/17/2010 12:00:00 AM","43","43","2010-07-17T00:00:00.000","4902-0","ESCAPE","1864104","861348"
"SL2010124099",,,"1","0",,"07/18/2010 12:00:00 AM","B5","236","2010-07-18T00:00:00.000","5499-7","TRAFFIC","1907590","869321"
"SL2010124183","SALT LAKE CITY",,"1","23C",,"07/18/2010 12:00:00 AM",,,"2010-07-18T00:00:00.000","2303-0","LARCENY",,
"SL2010124717","SALT LAKE CITY",,"2","0",,"07/19/2010 12:00:00 AM",,,"2010-07-19T00:00:00.000","5399-28","PUBLIC PEACE",,
"SL2010125708","SALT LAKE COUNTY",,"4","90Z",,"07/21/2010 12:00:00 AM",,,"2010-07-21T00:00:00.000","4902-0","ESCAPE",,
"SL2010126841","SALT LAKE CITY",,"5","90G",,"07/22/2010 12:00:00 AM",,"INV","2010-07-22T00:00:00.000","4104-0","LIQUOR",,
"SL2010127645","SALT LAKE CITY","1","5","0",,"07/22/2010 12:00:00 AM","A3","133","2010-07-23T00:00:00.000","7399-1","PUBLIC ORDER","1865746","891599"
"SL2010127099",,,"6","0",,"07/23/2010 12:00:00 AM",,,"2010-07-23T00:00:00.000","5499-12","TRAFFIC",,
"SL2010128001",,,"6","26C",,"07/23/2010 12:00:00 AM",,"INV","2010-07-24T00:00:00.000","2699-1","FRAUD",,
"SL201010128309",,,"7","0",,"07/24/2010 12:00:00 AM",,,"2010-07-26T00:00:00.000","5399-26","PUBLIC PEACE",,
"SL2010128997","SALT LAKE CITY","5","1","90Z",,"07/25/2010 12:00:00 AM","PEF","231","2010-07-25T00:00:00.000","4902-0","ESCAPE","1891018","878726"
"SL2010129888","SALT LAKE CITY","1","3","0",,"07/27/2010 12:00:00 AM","A3","133","2010-07-27T00:00:00.000","5499-12","TRAFFIC","1866905","891511"
"SL2010130151","SALT LAKE CITY",,"3","23D",,"07/27/2010 12:00:00 AM",,,"2010-07-27T00:00:00.000","2308-0","LARCENY",,
"SL2010112329","SALT LAKE CITY","4","3","90Z",,"07/27/2010 12:00:00 AM","B1","212","2010-07-27T00:00:00.000","3599-99","DRUGS","1893430","885973"
"SL2010146596","SALT LAKE CITY",,"3","90Z",,"07/27/2010 12:00:00 AM",,,"2010-08-21T00:00:00.000","4902-0","ESCAPE",,
"SL2010130841","SALT LAKE CITY",,"4","23C",,"07/28/2010 12:00:00 AM",,,"2010-07-28T00:00:00.000","2303-0","LARCENY",,
"SL2010131337","SALT LAKE CITY","2","5","13C",,"07/29/2010 12:00:00 AM","WSL","154","2010-07-29T00:00:00.000","1316-16","ASSAULT","1872119","879100"
"SL2010132163","SALT LAKE CITY",,"6","13B",,"07/30/2010 12:00:00 AM",,,"2010-07-30T00:00:00.000","1313-0","ASSAULT",,
"SL2010132511","SALT LAKE CITY","1","7","0",,"07/31/2010 12:00:00 AM","A3","133","2010-07-31T00:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2010132841",,,"7","0",,"07/31/2010 12:00:00 AM",,,"2010-07-31T00:00:00.000","5499-6","TRAFFIC",,
"SL2010133002",,,"1","35A",,"08/01/2010 12:00:00 AM",,,"2010-08-02T00:00:00.000","3599-0","DRUGS",,
"SL2010135155",,,"4","90C",,"08/04/2010 12:00:00 AM",,"INV","2010-08-04T00:00:00.000","7299-3","MORALS-DECENCY",,
"SL2010138377",,,"4","13B",,"08/04/2010 12:00:00 AM","40","40","2010-08-04T00:00:00.000","1313-0","ASSAULT","1904183","875806"
