"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2011425",,,"7","0",,,,,"2011-01-01T16:59:25.000","7399-1","PUBLIC ORDER",,
"SL2011646","SALT LAKE CITY",,"1","90Z",,,,,"2011-01-02T01:10:08.000","3599-2","DRUGS",,
"SL2011808","SALT LAKE CITY","1","1","0",,,"A3","133","2011-01-02T13:09:51.000","5499-12","TRAFFIC","1865746","891599"
"SL20112078","SALT LAKE CITY","4","3","90Z",,,"B1","212","2011-01-04T18:58:47.000","3599-99","DRUGS","1893430","885973"
"SL20112474",,,"4","23D",,,,,"2011-01-05T14:42:49.000","2308-0","LARCENY",,
"SL20112578","SOUTH SALT LAKE","SL","4","90Z",,,"42","42","2011-01-05T17:59:00.000","3599-99","DRUGS","1895310","862581"
"SL20112508","SALT LAKE CITY","1","4","0",,,"A3","131","2011-01-05T15:38:44.000","5499-8","TRAFFIC","1875209","893287"
"SL20113546","SALT LAKE CITY",,"5","90Z",,,"B5","236","2011-01-07T11:46:29.000","5401-0","TRAFFIC","1902095","873239"
"SL20113717","SALT LAKE CITY","1","6","90Z",,,"A3","133","2011-01-07T16:49:15.000","5309-0","PUBLIC PEACE","1866905","891511"
"SL20113733","SALT LAKE CITY","5","6","0",,,"PEF","234","2011-01-07T17:22:04.000","5499-8","TRAFFIC","1889415","871603"
"SL2011800372",,,"7","26C",,,,,,"2699-1","FRAUD",,
"SL20114490","SALT LAKE CITY","2","1","0",,,"WSL","154","2011-01-09T05:06:36.000","2499-15","STOLEN VEHICLE","1854730","879635"
"SL201124183","SALT LAKE CITY","1","2","23H",,,"A3","133","2011-02-11T09:08:46.000","2399-19","LARCENY","1878549","891588"
"SL20116659",,,"5","90Z",,,,,"2011-01-13T02:42:36.000","4902-0","ESCAPE",,
"SL20117680","SALT LAKE CITY","1","6","90Z",,,"A3","133","2011-01-14T17:15:48.000","4902-0","ESCAPE","1866905","891511"
"SL20117783",,,"6","0",,,,,"2011-01-14T19:32:31.000","7399-1","PUBLIC ORDER",,
"SL20117695","SALT LAKE CITY",,"6","90J",,,,,"2011-01-14T17:34:25.000","5707-0","INV OF PRIVACY",,
"SL201144766","SALT LAKE CITY","3","6","0",,,"A1","111","2011-03-18T13:24:15.000","7399-12","PUBLIC ORDER","1892451","893941"
"SL20118775","SOUTH JORDAN","SL","1","90Z",,,"49","49","2011-01-16T10:53:01.000","4902-0","ESCAPE","1864946","804068"
"SL20119888","SALT LAKE CITY","L","3","40A",,,"LIW","231","2011-01-18T11:48:45.000","4004-4","COMMERCIAL SEX","1892629","876990"
"SL201110266","SALT LAKE CITY","1","3","23H",,,"A3","133","2011-01-18T23:37:01.000","2399-0","LARCENY","1866905","891511"
"SL201110940","SALT LAKE CITY","4","5","90D",,,"DTN","112","2011-01-20T01:18:43.000","5404-0","TRAFFIC","1890250","884714"
"SL20112081","SALT LAKE CITY","4","5","90Z",,,"B1","212","2011-01-04T18:59:22.000","3599-99","DRUGS","1893430","885973"
"SL201111045",,,"5","290",,,,,"2011-01-20T08:43:04.000","2901-0","DAMAGED PROP",,
"SL201111517","SALT LAKE CITY","1","5","0",,,"A3","133","2011-01-20T21:36:45.000","5499-84","TRAFFIC","1866905","891511"
"SL201112450","SALT LAKE CITY",,"6","250",,,,,"2011-01-22T10:58:47.000","3599-84","DRUGS",,
"SL201112399",,,"7","90D",,,"40","40","2011-01-22T09:15:32.000","5403-0","TRAFFIC","1879781","890223"
"SL201112466","SALT LAKE CITY",,"7","0",,,"A5","151","2011-01-22T11:20:20.000","7399-99","PUBLIC ORDER","1879133","885354"
"SL201114213","SOUTH JORDAN","4","7","0",,,"B1","212","2011-01-25T13:23:46.000","5299-11","WEAPONS","1894390","886000"
"SL201113344","SALT LAKE CITY","1","2","90C",,,"A3","133","2011-01-24T01:57:42.000","5311-0","PUBLIC PEACE","1865746","891599"
"SL201113556","SALT LAKE CITY",,"2","0",,,"A5","154","2011-01-24T12:31:06.000","7399-3","PUBLIC ORDER","1852232","876372"
"SL201113904","SALT LAKE CITY","1","2","0",,,"A3","133","2011-01-24T23:20:20.000","5499-84","TRAFFIC","1866905","891511"
"SL201114449","SOUTH JORDAN","SL","3","0",,,"49","49","2011-01-25T20:23:12.000","5499-1","TRAFFIC","1859072","803262"
"SL201114694",,,"3","250",,,,,"2011-01-26T09:50:32.000","2501-0","FORGERY",,
"SL201114064","SALT LAKE CITY","3","3","290",,,"CAH","111","2011-01-25T10:02:06.000","2902-0","DAMAGED PROP","1893100","892357"
"SL201114960","SALT LAKE CITY",,"4","0",,,"A3","131","2011-01-26T18:24:38.000","5499-7","TRAFFIC","1877849","901178"
"SL201122067","SALT LAKE CITY","1","4","23F",,,"JOM","133","2011-02-07T15:04:26.000","2305-0","LARCENY","1877236","889605"
"SL201116449","SALT LAKE CITY","2","6","90G",,,"A1","113","2011-01-28T23:36:30.000","4104-0","LIQUOR","1890903","885617"
"SL201116506","SOUTH SALT LAKE","SL","7","90D",,,"42","42","2011-01-29T01:29:25.000","5404-0","TRAFFIC","0","0"
"SL201116946","SALT LAKE CITY","1","7","0",,,"A3","133","2011-01-29T20:33:15.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201116860","SOUTH SALT LAKE","SL","7","90Z",,,"42","42","2011-01-29T17:47:21.000","4902-0","ESCAPE","1895136","866802"
"SL201117548","SALT LAKE CITY","1","2","0",,,"A3","133","2011-01-31T00:04:09.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201117844","SALT LAKE CITY","SL","2","0",,,"40","40","2011-01-31T14:18:03.000","7399-3","PUBLIC ORDER","1879131","885462"
"SL201117658","SALT LAKE CITY","5","2","90Z",,,"B3","233","2011-01-31T09:16:07.000","5499-0","TRAFFIC","1903749","875782"
"SL2011103413","SALT LAKE CITY",,"3","90Z",,,,,"2011-06-28T06:19:20.000","3599-99","DRUGS",,
"SL201119282","SALT LAKE CITY","1","4","290",,,"A3","133","2011-02-02T22:13:51.000","2902-0","DAMAGED PROP","1866905","891511"
"SL201119575","SALT LAKE CITY","L","5","0",,,"SUG","236","2011-02-03T12:15:44.000","5499-7","TRAFFIC","1904558","873457"
"SL201120099","SALT LAKE CITY","1","5","0",,,"A3","133","2011-02-04T09:10:34.000","7399-6","PUBLIC ORDER","1866905","891511"
"SL201119947","TAYLORSVILLE","SL","5","90Z",,,"13","13","2011-02-03T23:28:14.000","4902-0","ESCAPE","1884306","852041"
"SL201120281","SALT LAKE CITY","1","6","0",,,"A3","133","2011-02-04T14:23:35.000","5499-84","TRAFFIC","1866905","891511"
"SL201120558","SALT LAKE CITY","1","6","0",,,"A3","133","2011-02-04T22:18:42.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL201120659","MIDVALE","SL","7","0",,,"47","47","2011-02-05T02:02:06.000","7399-99","PUBLIC ORDER","1894206","834271"
"SL201121098","SALT LAKE CITY",,"7","90J",,,,,"2011-02-05T19:55:16.000","5707-0","INV OF PRIVACY",,
"SL201121383","SALT LAKE CITY",,"7","90Z",,,,,"2011-02-06T03:29:56.000","4902-0","ESCAPE",,
"SL201121497","SALT LAKE CITY",,"1","23F",,,,,"2011-02-06T11:38:29.000","2305-0","LARCENY",,
"SL201122285","SALT LAKE CITY","2","2","90Z",,,"POP","151","2011-02-07T23:00:52.000","5401-0","TRAFFIC","1878608","882542"
"SL201127985","SALT LAKE COUNTY","SL","4","0",,,"COU","02","2011-02-17T12:22:33.000","7399-3","PUBLIC ORDER","1908894","865842"
"SL201123051","SALT LAKE CITY","1","4","0",,,"A3","133","2011-02-09T11:11:38.000","5499-84","TRAFFIC","1865746","891599"
"SL201117940","SALT LAKE CITY","4","5","90Z",,,"B1","212","2011-01-31T16:36:57.000","3599-99","DRUGS","1893430","885973"
"SL201124132",,,"6","0",,,"A3","131","2011-02-11T07:46:14.000","5499-7","TRAFFIC","1884192","897087"
"SL201124512","SALT LAKE CITY","1","6","0",,,"A3","133","2011-02-11T17:44:47.000","7399-1","PUBLIC ORDER","1865746","891599"
"SL201124740","SALT LAKE CITY","C","7","90D",,,"PEF","112","2011-02-12T00:37:34.000","5404-0","TRAFFIC","1887114","885205"
"SL201124988","SALT LAKE CITY","1","7","0",,,"A3","133","2011-02-12T14:24:24.000","7399-99","PUBLIC ORDER","1866905","891511"
"SL2011214500","SALT LAKE CITY","2","3","220",,,"124","Z2","2011-12-27T09:09:08.000","2203-0","BURGLARY","1869703","879105"
"SL2011214943","SALT LAKE CITY","1","4","0",,,"113","Z1","2011-12-28T07:50:25.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201125613","SALT LAKE CITY","L","1","90Z",,,"PEF","231","2011-02-13T13:17:19.000","4902-0","ESCAPE","1891045","877910"
"SL201126053","SALT LAKE CITY","1","2","0",,,"POP","151","2011-02-14T09:35:08.000","5399-28","PUBLIC PEACE","1883132","883147"
"SL201126198","SALT LAKE CITY","4","2","23C",,,"DTN","112","2011-02-14T14:18:34.000","2303-0","LARCENY","1888677","887475"
