"address","case","city","council","day_of_week","ibr_code","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"1700 S MAIN ST","SL201312","SALT LAKE CITY","5","3","90D","2013-01-01T00:35:00.000","161","Z6","2013-01-01T00:37:00.000","5404-0","TRAFFIC","1891857","874399"
"400 S 300 W","SL201333","SALT LAKE CITY","4","3","90G","2013-01-01T00:45:00.000","134","Z3","2013-01-01T01:01:00.000","4104-0","LIQUOR","1889456","884364"
"500 S MAIN ST","SL201323","SALT LAKE CITY","4","3","35A","2013-01-01T00:30:00.000","135","Z3","2013-01-01T01:18:00.000","3562-0","DRUGS","1891889","883171"
"500 S MAIN ST","SL201358","SALT LAKE CITY","4","3","90D","2013-01-01T01:40:00.000","135","Z3","2013-01-01T01:40:00.000","5404-0","TRAFFIC","1891831","883579"
"00 E 600 S","SL201336","SALT LAKE CITY","4","3","90D","2013-01-01T01:54:00.000","135","Z3","2013-01-01T02:17:00.000","5404-0","TRAFFIC","1892068","882780"
"300 E 200 S","SL20132","SALT LAKE CITY","4","3","290","2013-01-01T00:00:00.000","142","Z4","2013-01-01T00:00:00.000","2903-0","DAMAGED PROP","1894390","886000"
"600 E 400 S","SL201367","SALT LAKE CITY","4","3","0","2013-01-01T01:34:00.000","142","Z4","2013-01-01T01:34:00.000","5499-7","TRAFFIC","1897055","884405"
"700 W 400 N","SL201320","SALT LAKE CITY","2","3","520","2013-01-01T00:28:00.000","112","Z1","2013-01-01T00:28:00.000","5213-0","WEAPON OFFENSE","1886215","890784"
"500 W 400 S","SL201382","SALT LAKE CITY","4","3","35A","2013-01-01T03:00:00.000","132","Z3","2013-01-01T03:00:00.000","3562-0","DRUGS","1887499","884441"
"1100 E 800 S","SL201397","SALT LAKE CITY","4","3","90D","2013-01-01T02:19:00.000","151","Z5","2013-01-01T02:19:00.000","5404-0","TRAFFIC","1900614","881164"
"600 S 400 E","SL201385","SALT LAKE CITY","4","3","90D","2013-01-01T01:59:00.000","144","Z4","2013-01-01T03:08:00.000","5404-0","TRAFFIC","1895000","882790"
"500 S MAIN ST","SL201396","SALT LAKE CITY","4","3","13B","2013-01-01T02:00:00.000","135","Z3","2013-01-01T02:18:00.000","1313-0","ASSAULT","1891830","883316"
"00 E 200 N","SL2013109","SALT LAKE CITY","3","3","13B","2013-01-01T02:50:00.000","131","Z3","2013-01-01T02:50:00.000","1313-0","ASSAULT","1892381","889142"
"700 N TERMINAL DR","SL2013137","SALT LAKE CITY",,"3","0","2013-01-01T04:00:00.000","113","Z1","2013-01-01T04:00:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"2700 S MELBOURNE ST","SL2013143","SALT LAKE CITY","7","3","13B","2013-01-01T04:22:00.000","163","Z6","2013-01-01T04:22:00.000","4801-0","OBST POLICE","1906146","866851"
"100 S MAIN ST","SL201316","SALT LAKE CITY","4","3","13B","2013-01-01T00:24:00.000","133","Z3","2013-01-01T00:24:00.000","1313-0","ASSAULT","1891900","886186"
"1300 E MICHIGAN AVE","SL201346","SALT LAKE CITY","5","3","240","2013-01-01T01:03:00.000","154","Z5","2013-01-01T01:03:00.000","2499-13","STOLEN VEHICLE","1902382","879817"
"500 N 200 W","SL201344","SALT LAKE CITY","3","3","13A","2013-01-01T00:59:00.000","131","Z3","2013-01-01T00:59:00.000","1303-0","ASSAULT","1890279","891974"
"400 W SOUTH TEMPLE ST","SL201373","SALT LAKE CITY","3","3","13B","2013-01-01T01:42:00.000","132","Z3","2013-01-01T01:42:00.000","1313-0","ASSAULT","1888747","887606"
"1700 S 300 W","SL201390","SALT LAKE CITY","5","3","13B","2013-01-01T02:10:00.000","161","Z6","2013-01-01T02:10:00.000","1313-0","ASSAULT","1889476","874431"
"1300 W STETSON WAY","SL2013149","SALT LAKE CITY","2","3","290","2013-01-01T04:45:00.000","123","Z2","2013-01-01T04:45:00.000","2902-1","DAMAGED PROP","1880811","874603"
"1300 W STETSON WAY","SL2013151","SALT LAKE CITY","2","3","290","2013-01-01T04:46:00.000","123","Z2","2013-01-01T04:46:00.000","2902-1","DAMAGED PROP","1880863","874633"
"1600 S STEWART ST","SL2013144","SALT LAKE CITY","2","3","290","2013-01-01T04:23:00.000","123","Z2","2013-01-01T04:23:00.000","2902-1","DAMAGED PROP","1880415","874798"
"3700 W TERMINAL WESTBOUND DR","SL2013153","SALT LAKE CITY","1","3","0","2013-01-01T04:23:00.000","113","Z1","2013-01-01T04:23:00.000","5399-28","PUBLIC PEACE","1866560","893915"
"00 S 600 E","SL20137","SALT LAKE CITY","4","3","0","2013-01-01T00:05:00.000","142","Z4","2013-01-01T00:05:00.000","7399-11","PUBLIC ORDER","1896601","887009"
"200 W 1300 S","SL2013166","SALT LAKE CITY","5","3","0","2013-01-01T06:57:00.000","152","Z5","2013-01-01T06:57:00.000","5499-5","TRAFFIC","1889823","877436"
"3700 WEST TERMINAL DRIVE","SL2013184","SALT LAKE CITY",,"3","0","2013-01-01T08:29:00.000","113","Z1","2013-01-01T08:29:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"400 S 900 W","SL2013225","SALT LAKE CITY","2","3","0","2013-01-01T10:44:00.000","121","Z2","2013-01-01T10:44:00.000","5499-5","TRAFFIC","1884704","884410"
"200 S 300 E","SL2013234","SALT LAKE CITY",,"3","240","2013-01-01T11:16:00.000","133","Z3","2013-01-01T11:51:00.000","2499-13","STOLEN VEHICLE","1894218","885734"
"3700 W TERMINAL WESTBOUND DR","SL2013218","SALT LAKE CITY","1","3","0","2013-01-01T10:19:00.000","113","Z1","2013-01-01T10:19:00.000","7399-1","PUBLIC ORDER","1866560","893915"
"1200 S STATE ST","SL2013256","SALT LAKE CITY","5","3","0","2013-01-01T12:32:00.000","152","Z5","2013-01-01T12:32:00.000","5499-5","TRAFFIC","1892662","877856"
"1100 N REDWOOD RD","SL2013262","SALT LAKE CITY","1","3","240","2013-01-01T02:00:00.000","111","Z1","2013-01-01T12:51:00.000","2499-13","STOLEN VEHICLE","1878573","896989"
"3700 W TERMINAL WESTBOUND DR","SL2013280","SALT LAKE CITY","1","3","0","2013-01-01T13:43:00.000","113","Z1","2013-01-01T13:44:00.000","5499-6","TRAFFIC","1866560","893915"
"200 W SOUTH TEMPLE ST","SL2013125","SALT LAKE CITY","4","3","13B","2013-01-01T03:23:00.000","132","Z3","2013-01-01T03:23:00.000","1313-0","ASSAULT","1890161","887540"
"700 S STATE ST","SL2013292","SALT LAKE CITY","4","3","0","2013-01-01T14:20:00.000","135","Z3","2013-01-01T14:51:00.000","5499-5","TRAFFIC","1892618","881991"
"2200 S KING ST","SL2013186","SALT LAKE CITY","7","3","0","2013-01-01T08:31:00.000","163","Z6","2013-01-01T08:31:00.000","5499-7","TRAFFIC","1911094","870615"
"1000 S 300 W","SL2013195","SALT LAKE CITY","5","3","90J","2013-01-01T09:09:00.000","152","Z5","2013-01-01T09:09:00.000","5707-0","INV OF PRIVACY","1889436","879285"
"2100 S 700 E","SL201327","SALT LAKE CITY","7","3","290","2013-01-01T00:41:00.000","162","Z6","2013-01-01T00:41:00.000","2902-0","DAMAGED PROP","1897319","871514"
"600 N 900 W","SL201347","SALT LAKE CITY","1","3","0","2013-01-01T01:07:00.000","111","Z1","2013-01-01T01:07:00.000","7399-1","PUBLIC ORDER","1884737","892566"
"200 S WEST TEMPLE ST","SL201352","SALT LAKE CITY","4","3","0","2013-01-01T01:13:00.000","133","Z3","2013-01-01T01:13:00.000","7399-1","PUBLIC ORDER","1891105","885480"
"100 S 1000 E","SL201360","SALT LAKE CITY","4","3","0","2013-01-01T01:23:00.000","143","Z4","2013-01-01T01:23:00.000","7399-11","PUBLIC ORDER","1899834","886398"
"1200 E MALVERN AVE","SL201374","SALT LAKE CITY","7","3","13B","2013-01-01T02:25:00.000","163","Z6","2013-01-01T02:25:00.000","1313-0","ASSAULT","1901877","867192"
"1000 N REDWOOD RD","SL2013287","SALT LAKE CITY","1","3","90Z","2013-01-01T03:00:00.000","111","Z1","2013-01-01T13:30:00.000","5401-0","TRAFFIC","1878559","895598"
"700 E 300 S","SL2013306","SALT LAKE CITY","4","3","13A","2013-01-01T14:59:00.000","143","Z4","2013-01-01T14:59:00.000","1303-0","ASSAULT","1897980","885134"
"1800 S 300 E","SL2013200","SALT LAKE CITY","5","3","290","2013-01-01T09:16:00.000","161","Z6","2013-01-01T09:16:00.000","2902-0","DAMAGED PROP","1894175","873618"
"200 S 1200 W","SL2013169","SALT LAKE CITY","2","3","90F","2013-01-01T07:01:00.000","121","Z2","2013-01-01T07:52:00.000","3899-0","FAMILY OFFENSES","1882446","885590"
"1300 S 1900 E","SL2013172","SALT LAKE CITY","6","3","0","2013-01-01T06:56:00.000","154","Z5","2013-01-01T07:57:00.000","7399-11","PUBLIC ORDER","1906986","876711"
"900 N 900 W","SL2013178","SALT LAKE CITY","1","3","90Z","2013-01-01T08:13:00.000","111","Z1","2013-01-01T08:13:00.000","4902-0","ESCAPE","1884748","895103"
"1600 S NAVAJO ST","SL2013206","SALT LAKE CITY","2","3","290","2013-01-01T09:31:00.000","123","Z2","2013-01-01T09:31:00.000","2902-1","DAMAGED PROP","1881129","874507"
"400 S 200 W","SL2013210","SALT LAKE CITY","4","3","90G","2013-01-01T09:53:00.000","134","Z3","2013-01-01T10:03:00.000","4104-0","LIQUOR","1890248","884149"
"300 S 900 E","SL2013217","SALT LAKE CITY","4","3","250","2013-01-01T07:15:00.000","143","Z4","2013-01-01T11:27:00.000","2505-0","FORGERY","1898972","885047"
"00 N 1000 W","SL2013229","SALT LAKE CITY","2","3","23D","2013-01-01T01:00:00.000","112","Z1","2013-01-01T11:50:00.000","2308-0","LARCENY","1883987","888101"
"1200 N BUCCANEER DR","SL2013253","SALT LAKE CITY","1","3","290","2013-01-01T12:17:00.000","111","Z1","2013-01-01T12:17:00.000","2902-1","DAMAGED PROP","1882529","897573"
"700 W NORTH TEMPLE ST","SL2013260","SALT LAKE CITY","2","3","0","2013-01-01T12:39:00.000","112","Z1","2013-01-01T12:39:00.000","7399-7","PUBLIC ORDER","1886204","888358"
"1600 S 1200 E","SL2013264","SALT LAKE CITY","5","3","13C","2013-01-01T12:53:00.000","153","Z5","2013-01-01T12:53:00.000","1316-3","ASSAULT","1901351","874627"
"300 W HOPE AVE","SL2013281","SALT LAKE CITY","5","3","23C","2013-01-01T13:40:00.000","152","Z5","2013-01-01T13:40:00.000","2303-0","LARCENY","1889051","876511"
"200 S RIO GRANDE ST","SL2013299","SALT LAKE CITY","4","3","90J","2013-01-01T14:46:00.000","132","Z3","2013-01-01T14:46:00.000","5707-0","INV OF PRIVACY","1888297","885604"
"300 W HOPE AVE","SL2013301","SALT LAKE CITY","5","3","90Z","2013-01-01T14:47:00.000","152","Z5","2013-01-01T14:47:00.000","4902-0","ESCAPE","1889051","876511"
"800 S STATE ST","SL2013308","SALT LAKE CITY","4","3","250","2013-01-01T15:04:00.000","135","Z3","2013-01-01T15:04:00.000","2589-12","FORGERY","1892673","880720"
"1400 S 500 W","SL2013223","SALT LAKE CITY","2","3","0","2013-01-01T10:41:00.000","123","Z2","2013-01-01T10:41:00.000","5499-8","TRAFFIC","1887832","876591"
"200 E KENSINGTON AVE","SL2013322","SALT LAKE CITY","5","3","13A","2013-01-01T15:51:00.000","152","Z5","2013-01-01T15:51:00.000","1303-0","ASSAULT","1893659","875720"
"10TH AVE / K ST","SL2013163","SALT LAKE CITY","A","3","23H","2013-01-01T05:00:00.000","141","Z4","2013-01-01T06:21:00.000","2399-0","LARCENY","1898134","892518"
"1800 S STATE ST","SL2013303","SALT LAKE CITY","5","3","120","2013-01-01T14:44:00.000","161","Z6","2013-01-01T14:44:00.000","1206-0","ROBBERY","1892645","873312"
"1700 W IRIE LN","SL2013314","SALT LAKE CITY","1","3","290","2013-01-01T15:13:00.000","113","Z1","2013-01-01T15:55:00.000","2902-1","DAMAGED PROP","1878284","891697"
"900 W 800 N","SL2013345","SALT LAKE CITY","1","3","220","2013-01-01T08:30:00.000","111","Z1","2013-01-01T16:43:00.000","2204-0","BURGLARY","1884678","893859"
"300 E 200 S","SL2013365","SALT LAKE CITY","4","3","13B","2013-01-01T13:00:00.000","142","Z4","2013-01-01T17:38:00.000","1313-0","ASSAULT","1894390","886000"
"1100 S 300 W","SL2013309","SALT LAKE CITY","5","3","520","2013-01-01T15:07:00.000","152","Z5","2013-01-01T15:07:00.000","5203-0","WEAPON OFFENSE","1889433","878648"
"1400 W 400 S","SL2013321","SALT LAKE CITY","2","3","90Z","2013-01-01T15:49:00.000","121","Z2","2013-01-01T15:49:00.000","4902-0","ESCAPE","1880345","884408"
"00 N RIO GRANDE ST","SL2013336","SALT LAKE CITY",,"3","90J","2013-01-01T16:48:00.000",,,"2013-01-01T16:48:00.000","5707-0","INV OF PRIVACY",,
"500 S 500 E","SL2013337","SALT LAKE CITY","4","3","13B","2013-01-01T16:19:00.000","144","Z4","2013-01-01T18:09:00.000","1313-0","ASSAULT","1895854","883336"
"1400 W 400 S","SL2013340","SALT LAKE CITY","2","3","90Z","2013-01-01T15:49:00.000","121","Z2","2013-01-01T15:49:00.000","4902-0","ESCAPE","1880345","884408"
