"case","city","council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL201421","SALT LAKE CITY","4","4","0","600 W 200 S","2014-01-01T00:48:00.000","132","Z3","2014-01-01T00:48:00.000","2499-15","STOLEN VEHICLE","1887093","886028"
"SL201431","SALT LAKE CITY","4","4","90D","200 E 500 S","2014-01-01T01:08:00.000","135","Z3","2014-01-01T01:23:00.000","5404-1","TRAFFIC","1893666","883566"
"SL201425","SALT LAKE CITY","3","4","0","700 N 300 W","2014-01-01T00:54:00.000","131","Z3","2014-01-01T00:54:00.000","5499-5","TRAFFIC","1889555","893763"
"SL201449","SALT LAKE CITY","4","4","90D","200 S WEST TEMPLE ST","2014-01-01T01:40:00.000","133","Z3","2014-01-01T01:40:00.000","5404-0","TRAFFIC","1891047","885971"
"SL201458","SALT LAKE CITY","4","4","90D","100 W PIERPONT AVE","2014-01-01T01:55:00.000","133","Z3","2014-01-01T01:55:00.000","5404-0","TRAFFIC","1890680","885618"
"SL201459","SALT LAKE CITY","4","4","35A","400 E 400 S","2014-01-01T01:50:00.000","144","Z4","2014-01-01T01:50:00.000","3562-0","DRUGS","1895517","884351"
"SL201455","SALT LAKE CITY","5","4","90D","1300 S 200 E","2014-01-01T02:32:00.000","152","Z5","2014-01-01T02:32:00.000","5404-0","TRAFFIC","1893392","877427"
"SL201467","SALT LAKE CITY","4","4","0","600 S WEST TEMPLE ST","2014-01-01T02:15:00.000","135","Z3","2014-01-01T02:15:00.000","7399-99","PUBLIC ORDER","1891033","882549"
"SL201447","SALT LAKE CITY","4","4","90D","200 S 200 W","2014-01-01T01:25:00.000","133","Z3","2014-01-01T01:25:00.000","5404-0","TRAFFIC","1890314","885738"
"SL201456","SALT LAKE CITY","2","4","240","1600 W NORTH TEMPLE ST","2014-01-01T00:00:00.000","112","Z1","2014-01-01T02:02:00.000","2499-17","STOLEN VEHICLE","1879129","888386"
"SL201435","SALT LAKE CITY","4","4","0","200 S 500 E","2014-01-01T01:22:00.000","142","Z4","2014-01-01T01:22:00.000","7399-7","PUBLIC ORDER","1895802","885485"
"SL201485","SALT LAKE CITY","7","4","23G","600 E RAMONA AVE","2014-01-01T02:50:00.000","161","Z6","2014-01-01T02:50:00.000","2304-0","LARCENY","1896613","872701"
"SL201442","SALT LAKE CITY","5","4","13A","300 W 1500 S","2014-01-01T01:41:00.000","152","Z5","2014-01-01T01:41:00.000","1303-0","ASSAULT","1889249","875845"
"SL201438","SALT LAKE CITY","4","4","13B","500 S MAIN ST","2014-01-01T01:33:00.000","135","Z3","2014-01-01T01:33:00.000","1313-0","ASSAULT","1891889","883171"
"SL201410","SALT LAKE CITY","5","4","0","2000 S 300 E","2014-01-01T00:28:00.000","161","Z6","2014-01-01T00:28:00.000","7399-1","PUBLIC ORDER","1894169","871936"
"SL201411","SALT LAKE CITY","4","4","0","00 E 600 S","2014-01-01T00:29:00.000","135","Z3","2014-01-01T00:29:00.000","7399-99","PUBLIC ORDER","1892068","882780"
"SL201430","SALT LAKE CITY","3","4","0","200 N C ST","2014-01-01T01:12:00.000","141","Z4","2014-01-01T01:12:00.000","7399-1","PUBLIC ORDER","1894835","889810"
"SL201499","SALT LAKE CITY","4","4","13A","100 S 400 W","2014-01-01T03:27:00.000","132","Z3","2014-01-01T03:27:00.000","1306-0","ASSAULT","1888674","886760"
"SL2014118","SALT LAKE CITY","4","4","290","00 S ELIZABETH ST","2014-01-01T05:35:00.000","143","Z4","2014-01-01T05:38:00.000","2902-0","DAMAGED PROP","1901183","887049"
"SL201427","SALT LAKE CITY","2","4","290","1300 W PACIFIC AVE","2014-01-01T00:54:00.000","121","Z2","2014-01-01T00:54:00.000","2902-1","DAMAGED PROP","1880956","884071"
"SL201496","SALT LAKE CITY","5","4","90E","1400 E 800 S","2014-01-01T03:19:00.000","151","Z5","2014-01-01T03:19:00.000","7399-26","PUBLIC ORDER","1902909","880728"
"SL201432","SALT LAKE CITY","4","4","13A","100 W 300 S","2014-01-01T01:14:00.000","133","Z3","2014-01-01T01:14:00.000","1303-0","ASSAULT","1890965","885220"
"SL2014127","SALT LAKE CITY","1","4","240","1200 N REDWOOD RD","2014-01-01T07:13:00.000","111","Z1","2014-01-01T07:13:00.000","2499-13","STOLEN VEHICLE","1878580","897671"
"SL2014143","SALT LAKE CITY","4","4","90Z","500 E 700 S","2014-01-01T15:21:00.000","144","Z4","2014-01-01T15:21:00.000","4902-0","ESCAPE","1896310","882031"
"SL2014134","SALT LAKE CITY",,"4","0","700 N TERMINAL DR","2014-01-01T07:15:00.000","40","40","2014-01-01T07:46:00.000","5399-28","PUBLIC PEACE","1869739","890270"
"SL2014150","SALT LAKE CITY","2","4","0","200 S 900 W","2014-01-01T08:42:00.000","121","Z2","2014-01-01T09:59:00.000","5499-12","TRAFFIC","1884709","885644"
