":@computed_region_9z68_3kq5","case","cityname","cityname_address","cityname_city","cityname_state","cityname_zip","council","dow","ibr_code","location","occ_date","police_grid","police_zone","received_date","ucr_code","ucr_desc","x_coordinate","y_coordinate"
,"SL2015125",,,,,,,"5","0",,"2015-01-01T04:28:39.000",,,"2015-01-01T04:28:39.000","5499-7","REPORTABLE TA",,
,"SL2015542",,,,,,,"6","0",,"2015-01-02T09:05:14.000",,,"2015-01-02T09:05:14.000","5499-5","MOV TRAF VIOL",,
,"SL2015547",,,,,,,"6","220",,"2015-01-02T09:16:39.000",,,"2015-01-02T09:16:39.000","2203-0","BURGLARY",,
,"SL2015838",,,,,,,"6","0",,"2015-01-02T19:26:15.000",,"D2","2015-01-02T19:26:15.000","5499-8","NONREPTABL TA",,
,"SL2015800085",,,,,,,"7","0",,,,,,"7399-6","PUBLIC ORDER",,
,"SL20151758",,,,,,,"1","0",,"2015-01-04T15:21:38.000",,,"2015-01-04T15:21:38.000","5499-6","NON MOV TRAF",,
,"SL20152308",,,,,,,"2","0",,"2015-01-05T15:32:13.000",,,"2015-01-05T15:32:13.000","5499-7","REPORTABLE TA",,
,"SL20152700",,,,,,,"3","0",,"2015-01-06T10:18:51.000",,,"2015-01-06T10:18:51.000","7399-1","PUBLIC ORDER",,
,"SL201527018",,,,,,,"6","0",,"2015-02-13T14:39:53.000",,"D1","2015-02-13T14:39:53.000","5499-8","NONREPTABL TA",,
,"SL20153253",,,,,,,"4","0",,"2015-01-07T10:20:35.000",,,"2015-01-07T10:20:35.000","5499-6","NON MOV TRAF",,
,"SL20153275",,,,,,,"4","90Z",,"2015-01-07T11:00:28.000",,,"2015-01-07T11:00:28.000","4902-0","ESCAPE",,
,"SL20153413",,,,,,,"4","90Z",,"2015-01-07T14:07:13.000",,,"2015-01-07T14:07:13.000","4902-0","ESCAPE",,
,"SL20153149",,,,,,,"4","0",,"2015-01-07T06:55:54.000",,,"2015-01-07T06:55:54.000","5399-28","PUBLIC PEACE",,
,"SL20154155",,,,,,,"5","0",,"2015-01-08T18:04:41.000",,,"2015-01-08T18:04:41.000","5499-8","NONREPTABL TA",,
,"SL2015800081",,,,,,,"5","26C",,,,,,"2699-1","FRAUD",,
,"SL2015800092",,,,,,,"5","23F",,,,,,"2305-0","LARCENY",,
,"SL20154832",,,,,,,"6","35B",,"2015-01-09T23:04:51.000",,,"2015-01-09T23:04:51.000","3550-0","DRUGS",,
,"SL20156099",,,,,,"1","6","0",,"2015-01-12T08:55:32.000",,,"2015-01-12T08:55:32.000","7399-99","PUBLIC ORDER",,
,"SL2015800112",,,,,,,"6","90Z",,,,,,"5401-0","HIT AND RUN",,
,"SL20157554",,,,,,,"6","23F",,"2015-01-14T16:28:51.000",,,"2015-01-14T16:28:51.000","2305-0","LARCENY",,
,"SL201519652",,,,,,"1","3","39B",,"2015-02-03T16:21:52.000",,"ADM","2015-02-03T16:21:52.000","3999-0","GAMBLING","111111111","111111111"
,"SL201574976",,,,,,,"5","23H",,"2015-04-30T15:25:24.000",,,"2015-04-30T15:25:24.000","2309-0","LARCENY",,
,"SL20155696",,,,,,,"1","0",,"2015-01-11T12:34:23.000",,,"2015-01-11T12:34:23.000","5499-5","MOV TRAF VIOL",,
,"SL20155761",,,,,,,"1","0",,"2015-01-11T14:57:01.000",,,"2015-01-11T14:57:01.000","5499-2","TA- CITY EQUIP",,
,"SL20156359",,,,,,,"2","0",,"2015-01-12T16:44:29.000",,,"2015-01-12T16:44:29.000","5499-12","IMP/ABAND VEH",,
,"SL2015800510",,,,,,,"2","23G",,,,,,"2304-0","LARCENY",,
,"SL20157124",,,,,,,"3","90Z",,"2015-01-13T22:15:24.000",,,"2015-01-13T22:15:24.000","5401-0","HIT AND RUN",,
,"SL20157615",,,,,,,"4","90Z",,"2015-01-14T17:45:37.000",,,"2015-01-14T17:45:37.000","4902-0","ESCAPE",,
,"SL20157988",,,,,,,"5","90Z",,"2015-01-15T11:03:53.000",,,"2015-01-15T11:03:53.000","4902-0","ESCAPE",,
,"SL20158273",,,,,,,"5","0",,"2015-01-15T17:43:27.000",,,"2015-01-15T17:43:27.000","5499-6","NON MOV TRAF",,
,"SL20158037",,,,,,,"5","290",,"2015-01-15T12:09:28.000",,,"2015-01-15T12:09:28.000","2902-0","DAMAGED PROP",,
,"SL20158610",,,,,,,"6","0",,"2015-01-16T10:12:18.000",,,"2015-01-16T10:12:18.000","5499-6","NON MOV TRAF",,
,"SL20158723",,,,,,,"6","0",,"2015-01-16T13:24:43.000",,,"2015-01-16T13:24:43.000","5499-12","IMP/ABAND VEH",,
,"SL20158804",,,,,,,"6","0",,"2015-01-16T15:30:20.000",,,"2015-01-16T15:30:20.000","5499-6","NON MOV TRAF",,
